,n_lines,n_vip_lines,cost,gold_wait,silver_wait,regular_wait,vip_no_lines,regular_no_lines,gold_7,gold_8,gold_9,gold_10,gold_11,silver_7,silver_8,silver_9,silver_10,silver_11,regular_7,regular_8,regular_9,regular_10,regular_11
66,55.0,5.0,190800.0,0.9989189189189188,0.9570000000000001,0.9341772151898734,0.00981719702098849,0.27329420396184884,3.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,4.0,6.0,9.0,9.0,5.0,6.0
67,55.0,5.0,198800.0,1.0,0.9804782820888238,0.9207225288509784,0.011940298507462687,0.2698760029175784,3.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,4.0,6.0,9.0,9.0,5.0,6.0
68,55.0,5.0,218000.0,0.9989733059548256,0.9785536159600996,0.9359726295210166,0.008322237017310255,0.2612288896873877,3.0,4.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,4.0,6.0,9.0,9.0,5.0,6.0
69,55.0,5.0,221200.0,0.9989775051124744,0.9653979238754326,0.9434410646387832,0.00957095709570957,0.2434376123696512,3.0,4.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,4.0,6.0,10.0,9.0,5.0,6.0
70,55.0,5.0,225200.0,0.9979231568016614,0.9887812340642528,0.9683065279091768,0.007128309572301427,0.21616611049314047,3.0,4.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,4.0,6.0,10.0,9.0,5.0,6.0
71,55.0,5.0,220400.0,1.0,0.978021978021978,0.94151212553495,0.0046558031260392424,0.24650662844858476,3.0,3.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,4.0,6.0,10.0,9.0,5.0,6.0
72,55.0,5.0,224400.0,1.0,0.982608695652174,0.9537735849056604,0.01026150281363787,0.23997134670487105,3.0,3.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,4.0,6.0,10.0,9.0,5.0,6.0
73,55.0,5.0,250800.0,1.0,0.999494438827098,0.9894204231830728,0.004406779661016949,0.2027869453612028,3.0,3.0,0.0,0.0,3.0,5.0,5.0,0.0,5.0,4.0,6.0,10.0,9.0,7.0,6.0
74,55.0,5.0,254000.0,1.0,0.997979797979798,0.9823529411764704,0.009208731241473395,0.18422991893883567,3.0,3.0,0.0,0.0,3.0,5.0,5.0,0.0,5.0,4.0,6.0,10.0,10.0,7.0,6.0
75,55.0,5.0,258800.0,1.0,0.9985415653864852,0.9916005599626692,0.006576783952647157,0.20156482861400893,3.0,4.0,0.0,0.0,3.0,5.0,5.0,0.0,5.0,4.0,6.0,10.0,10.0,7.0,6.0
76,55.0,5.0,262800.0,1.0,1.0,0.989908256880734,0.004049949375632805,0.1859596713965646,3.0,4.0,0.0,0.0,3.0,5.0,6.0,0.0,5.0,4.0,6.0,10.0,10.0,7.0,6.0
77,55.0,3.0,262800.0,1.0,0.9980778471888516,0.9849090102086108,0.01665034280117532,0.1828695337911095,3.0,4.0,0.0,0.0,3.0,5.0,6.0,0.0,5.0,4.0,6.0,10.0,10.0,7.0,6.0
78,55.0,3.0,262800.0,1.0,1.0,0.9974003466204506,0.015080428954423592,0.15550676911818515,3.0,4.0,0.0,0.0,3.0,5.0,6.0,0.0,5.0,4.0,6.0,10.0,10.0,7.0,6.0
